hora1,hora2,hora3,hora4,hora5,hora6,hora7,hora8,hora9,hora10,hora11,hora12,hora13,STO_PESO_REAL,overstock,festivo,dsemana_J,dsemana_L,dsemana_M,dsemana_S,dsemana_V,dsemana_X
21.48,47.05,42.22,43.8,41.39,0.0,0.0,0.0,1.49,0.94,0.97,0.0,0.0,11.149,0,0,0,0,0,1,0,0
45.1,29.73,29.09,42.19,30.51,12.31,25.43,17.65,19.85,31.24,41.6,30.05,6.18,0.0,0,0,0,1,0,0,0,0
19.48,23.03,30.01,21.93,15.96,11.92,7.63,11.31,13.54,20.13,34.16,23.4,6.76,28.73,0,0,0,0,1,0,0,0
18.1,21.6,32.55,26.55,23.61,12.6,20.86,8.55,12.48,21.99,12.38,0.0,0.0,15.988,0,0,0,0,0,0,0,1
19.75,24.07,24.48,32.81,20.5,7.9,9.86,8.26,6.91,16.45,3.74,0.0,0.0,10.75,0,0,1,0,0,0,0,0
36.44,28.11,39.92,37.410000000000004,37.97,23.99,15.790000000000001,15.44,18.919999999999998,27.5,1.96,0.36,0.39,9.031,0,0,0,0,0,0,1,0
26.94,28.97,49.45,41.11,28.23,17.99,0.27,0.0,0.0,0.0,0.0,0.0,0.0,23.407,0,0,0,0,0,1,0,0
38.59,42.31,34.12,33.59,25.79,21.1,13.73,22.1,23.55,33.6,44.23,33.58,15.48,0.0,0,0,0,1,0,0,0,0
21.2,21.45,32.38,31.5,24.8,15.4,5.87,10.5,23.2,17.68,40.410000000000004,19.89,3.6900000000000004,30.151,1,0,0,0,1,0,0,0
19.86,26.33,36.63,33.09,17.56,7.54,13.5,11.41,14.86,25.6,24.41,12.21,0.5,0.0,0,0,0,0,0,0,0,1
19.47,10.31,39.56,27.8,14.77,9.08,13.22,17.16,20.86,14.84,0.8899999999999999,0.0,0.0,0.0,0,0,1,0,0,0,0,0
32.769999999999996,36.19,44.230000000000004,36.92,26.05,13.65,8.26,16.88,23.69,26.84,36.37,13.22,0.0,7.226,0,0,0,0,0,0,1,0
24.01,28.22,50.11,56.23,38.8,33.78,15.92,10.15,7.930000000000001,25.57,23.1,25.87,5.5,30.902,0,0,0,0,0,1,0,0
